,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,introspective-acid,1,Jordan GCZ,Introspective Acid,"Jordan GCZ

              —
              Introspective Acid
            
              (Rush Hour)",Rush Hour,"Shine-eyed deep acid rubs and iridescent Detroit vibes from the Amsterdam don, Jordan GCZ 

It gets off to a melancholic start with the title tune melding a kind of new wave spirit with Chicago and Detroit-orbiting vibes - think Thomas Dolby meets Larry Heard at Convextion’s gaff - and gets incrementally optimistic thru the Rolando-esque Detroit percussion and... more",/products/introspective-acid,https://assets.boomkat.com/spree/products/719100/product/0023513337_10.jpeg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
1,reporting-from-detroit,2,Terrence Dixon,Reporting from Detroit,"Terrence Dixon

              —
              Reporting from Detroit
            
              (Rush Hour)",Rush Hour,"Enduring Detroit original Terrence Dixon returns to Rush Hour after seven years for a short, sharp futurist excursion into psychedelic parallel universes. Few artists are capable of producing techno that sounds this singular, spacious and funky.

Following last year's mind-bendingly breathtaking double-header of ""From The Far Future Pt. 3"" and ""Galactic Halo""... more",/products/reporting-from-detroit,https://assets.boomkat.com/spree/products/727869/product/4062548025941_1448.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
2,rat-heart,3,Rat Heart,Rat Heart,"Rat Heart

              —
              Rat Heart
            
              (Shotta Tapes)",Shotta Tapes,"Perhaps our most rinsed record this year - the first album, proper, from Tom Boogizm’s Rat Heart is finally here, an all-over-the place rendition of scuzzy soul knocks and frazzled steez that somehow manages to sound like Arthur Russell, Urban Tribe and The Other People Place all at once. Seriously - AOTY gear right here.

Panel-beating house, rap, post-punk... more",/products/rat-heart,https://assets.boomkat.com/spree/products/749287/product/Cover.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
3,too-compliment,4,JIM O'ROURKE,Too Compliment,"JIM O'ROURKE

              —
              Too Compliment
            
              (DDS)",DDS,"DDS catch enduringly absorbing sonic alchemist Jim O'Rourke at his knottiest and most ingenious in a wormholing suite of amorphous rhythm and psychedelic electronics - a massive RIYL Autechre, Roland Kayn, Bernard Parmegiani, NYZ, Keith Fullerton Whitman.

Playing up to and into DDS’ freeform aesthetics, O’Rourke renders 40 minutes shearing hyaline... more",/products/too-compliment,https://assets.boomkat.com/spree/products/736184/product/DDS046_Distribution-Preview.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
4,handlung001,5,Morten B,Handlung 001,"Morten B

            —
            Handlung 001",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
5,transspray,6,ALVA NOTO,Transspray,"ALVA NOTO

              —
              Transspray
            
              (raster-noton / NOTON)",raster-noton / NOTON,"**Part 3 of 3** This release is presented in three cds: Transrapid, Transvision and finally, Transspray. Across the 3 installments special emphasis is put on the rhythmic aspects of minimalism, utilising Carsten Nicolai's maverick minimal intricacies in brilliant white surroundings. There's a crisp clarity to Nicolai's construction's that's very hard to dissect... more",/products/transspray,https://assets.boomkat.com/spree/products/215740/product/original.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
6,north-vol-01,7,Logos,North Vol.01,"Logos

              —
              North Vol.01
            
              (Logos)",Logos,"Logos goes deep in the experimental techno prism with the first venture on his private press folio series made in limited and minimalist cassette editions - a big RIYL Pan Sonic, Topdown Dialectic, Ilpo Väisänen, Flaty, Mark Fell, Sleeparchive.

Following in a research vein of Logos’ work after his cinematic second album and missions with The Sprawl and... more",/products/north-vol-01,https://assets.boomkat.com/spree/products/757759/product/Cover.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
7,empty-words-0474e2b1-000a-46d0-975b-f132a8339017,8,Pessimist,All Hope Lost,"Pessimist

              —
              All Hope Lost
            
              (Berceuse Heroique)",Berceuse Heroique,"Proper darkside pressure from Pessimist, invoking the technoid spirits of Dom & Roland, the ruggedness of RZA, and bleakness of Brummie techno for Berceuse Heroique.

Marking over 10 years in the game, ‘Empty Words’ firmly stakes out his style in the nether region of UK club music that emerged during the industrial ‘80s and has endured since the ‘90s in... more",/products/empty-words-0474e2b1-000a-46d0-975b-f132a8339017,https://assets.boomkat.com/spree/products/736888/product/1564a85b-1b89-4665-9c8c-99c5251011dd.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
8,uan0007,9,UAN0007,UAN0007,"UAN0007

              —
              UAN0007
            
              (SM-LL)",SM-LL,"Butt naked, tracky, straightjacketed 2-step and skudgy bleep ’n bass from London’s SM-LL camp 

Patently skooled in SND and Rian Treanor tekkers, the A-side works up brittle claps and staggered dub chords into a mazy, frictional fuss distorted with gritty noise. The B-side settles down a bit for a stringent, strident tussle of flinty drums and shifty bleep melody... more",/products/uan0007,https://assets.boomkat.com/spree/products/773539/product/artwork.jpeg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
9,plus-795f6cfe-f000-4cb5-a6d3-791c6d141e21,10,AUTECHRE,PLUS,"AUTECHRE

              —
              PLUS
            
              (Warp Records)",Warp Records,"Autechre drop ‘Plus’, the ruder counterpart to their brooding ’Sign’ album, rinsing squashed drums and harsher textured tones in a newly aerated, noisier sort of sound design.

If you were left glowing but still hungry for some rufige after ’Sign’, this album’s for you. Their staunchest North Manc C++Boy attitude is in spine twisting, neck snapping effect on nine... more",/products/plus-795f6cfe-f000-4cb5-a6d3-791c6d141e21,https://assets.boomkat.com/spree/products/701157/product/0801061033835.jpg,1617,Logos,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1617
