,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mapsbackwoodz,1,Billy Woods / Kenny Segal,Maps (Backwoodz),"Billy Woods / Kenny Segal

            —
            Maps (Backwoodz)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
1,suntub,2,ML Buch,Suntub,"ML Buch

              —
              Suntub
            
              (15 love)",15 love,"Danish producer ML Buch studies the fertile space between vintage songcraft and contemporary synthetics on 'Suntub', smudging MIDI guitar riffs and soft rock pads into acoustic instrumentation and soaring earworms. It's like Joni Mitchell's 'Hejira' or Fleetwood Mac's 'Rumours' rebuilt painstakingly by an AI-powered server farm, the edges hand-frayed into surreal, fractal patterns. A late-year contender for pop album of the year, no doubt.

As artists have spied the creeping influence of AI... more",/products/suntub,https://assets.boomkat.com/spree/products/916466/product/ML_buc_Tip23.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
2,atlas-9a4f61b4-d3d4-4c49-8085-6e9cea1b61a6,3,Laurel Halo,Atlas,"Laurel Halo

              —
              Atlas
            
              (Awe)",Awe,"Our Album Of The Year, 2023.

Laurel Halo's long-in-the-making debut album for her newly minted Awe label is dazzling; a mix of weightless jazz, orchestral and drift energies that’s both elusive and engrossing; just when you think you have the measure of it, it shapeshifts into something else. Made of rarified material; it bends the contemporary “ambient” template into something almost entirely new, featuring contributions from Bendik Giske, James Underwood, Lucy Railton and Coby Sey... more",/products/atlas-9a4f61b4-d3d4-4c49-8085-6e9cea1b61a6,https://assets.boomkat.com/spree/products/916443/product/Laurel_AOTY.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
3,talninstantclassic,4,Raphael Rogiński,Talàn (Instant Classic),"Raphael Rogiński

            —
            Talàn (Instant Classic)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
4,corner-dancer,5,Lucy Railton,Corner Dancer,"Lucy Railton

              —
              Corner Dancer
            
              (Modern Love)",Modern Love,"Lucy Railton completely upends parameters and expectations with a genius, multifaceted and uncompromisingly forward-facing new album, her second for Modern Love. Blurring distinctions between structured composition and more visceral modes of performance, ’Corner Dancer’ is full of bristling, charged energies, dissolving into sections of almost incomprehensible beauty. It’s one of the most quietly radical albums of the year, required listening if you’re into Maryanne Amacher, HTRK... more",/products/corner-dancer,https://assets.boomkat.com/spree/products/916458/product/Lucy_Railton_Tip23.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
5,smartwoods,6,Piotr Kurek,Smartwoods,"Piotr Kurek

              —
              Smartwoods
            
              (Unsound)",Unsound,"A fantastical forest of ornate and uncanny instrumentation feature on prolific sound alchemist Piotr Kurek’s stunning new album, commissioned, curated and now issued by Unsound’s label division. It’s a sprawling, instrumental delight, overgrown with harp, woodwind and glassy FM bells, essential listening if you're into anything from Martyna Basta and Wojciech Rusin to Talk Talk or Pharoah Sanders.

Piotr Kurek's last album 'Peach Blossom' wowed us with its scientific (and charmingly... more",/products/smartwoods,https://assets.boomkat.com/spree/products/916553/product/UNS005_Tip23.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
6,slowly-forgetting-barely-remembering,7,Martyna Basta,"Slowly Forgetting, Barely Remembering","Martyna Basta

              —
              Slowly Forgetting, Barely Remembering
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Microtonal zither twangs, off-world vocals and k-hole sonic wonders characterise Martyna Basta's brilliant second album, a crepuscular muddle of improvisations and granular invocations.

Martyna Basta's 'Making Eye Contact With Solitude' took us by surprise, demolishing the borders between electro-acoustic experimentation, wyrd folk and ambient music by infusing scholarly expertise with raw, unbounded passion. Its followup pushes even deeper into the unknown, crumpling real-world... more",/products/slowly-forgetting-barely-remembering,https://assets.boomkat.com/spree/products/916381/product/5050580799516_Tip23.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
7,nekkuja,8,Marina Herlop,Nekkuja,"Marina Herlop

              —
              Nekkuja
            
              (PAN)",PAN,"Marina Herlop returns to PAN with another ornate collection of hopeful art-pop, this time inspired by a period of emotional regrowth. RIYL Björk, Julia Holter, Lucrecia Dalt, Jenny Hval.

Stronger and more intentionally mannered than its predecessor 'Pripyat', 'Nekkuja' is a leap forward for Herlop, who wrote the album as she pondered her creative future in her Spanish apartment. She wanted to grasp pop more wholeheartedly, and ignore the pull of darkness that seemed to have a hold on her... more",/products/nekkuja,https://assets.boomkat.com/spree/products/901693/product/617308061666.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
8,vidrio,9,Titanic,Vidrio,"Titanic

              —
              Vidrio
            
              (Unheard Of Hope)",Unheard Of Hope,"Perfectly smoky but lucid meld of jazz and indie chamber-pop from the wonderful Mabe Fratti, heading a promising new quartet with a sound lodged somewhere between Antena, Arthur Russell, Elaine Howley, Julia Holter, Fleetwood Mac and Vicente Atria.

‘Vidreo’ is among the most satisfying debuts we’ve heard in 2023. Its eight songs are surely defined by the ethereal tenor of Mabe Fratti’s vocals, as beloved from last year's fantastic 'Se Ve Desde Aquí' album for Unheard Of Hope, but here wrapped... more",/products/vidrio,https://assets.boomkat.com/spree/products/917389/product/7.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
9,signs-af6850a5-a8a2-46c6-8949-3a1983a5b88f,10,Purelink,Signs,"Purelink

              —
              Signs
            
              (Peak Oil)",Peak Oil,"Chicago three-piece Purelink descend on Peak Oil - the label that gave us those essential Topdown Dialectic editions -  with their most luxurious and gaseous set yet, fracturing dub techno with foggy ambience somewhere between Deepchord, Shuttle 358 and Pan American.

Formed in 2020 by Tommy Paslaski (aka Concave Reflection), Ben Paulson (aka kindtree) and Akeem Asani (aka Millia), Purelink have spent the last three years establishing themselves as players in the contemporary... more",/products/signs-af6850a5-a8a2-46c6-8949-3a1983a5b88f,https://assets.boomkat.com/spree/products/896318/product/197189346163.jpg,2383,Philip Sherburne,2023,https://boomkat.com/charts/boomkat-end-of-year-charts-2023/2383
